"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
screen_med_notes,online_screening,,descriptive,"MEDICATION NOTES:
stimulant medication: we need to confirm they are able to withhold medication on visit days
Bipolar 1 Medication: ineligible
Bipolar 2 Medication: eligible
Mood stabilizers: meet with Katherine and check with participant to see what the medication is for
Beta Blockers: we need to confirm they are able to withhold medication on visit days",,,,,,,,,,,,," @HIDDEN-SURVEY"
screen_marjuana_yn,online_screening,,yesno,"Do you currently smoke/consume marijuana?",,,,,,,,,,,,,
screen_marijuana_freq,online_screening,,radio,"How frequently do you smoke/consume marijuana?","0, Less than Monthly | 1, Monthly | 2, Few times a Month | 3, Weekly | 4, Few times a week | 5, Almost Daily | 6, Daily",,,,,,"[screen_marjuana_yn] = '1'",,,,,,
screen_physical_concern,online_screening,,yesno,"Do you have any exercise-induced physical concerns?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_concern_detail,online_screening,,notes,"Please describe the specifics of your exercise-induced physical concerns.",,,,,,,"[screen_physical_concern] = '1'",,,,,,
screen_blood_draw,online_screening,,yesno,"Are you physically comfortable with blood draws?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_blood_detail,online_screening,,notes,"Please further elaborate if you are not physically comfortable with blood draws.",,,,,,,"[screen_blood_draw] = '0'",,,,,,
screen_no_blood,online_screening,,yesno,"Has a phlebotomist been unable to draw blood/had to attempt multiple times before being able to draw blood from you in the past?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_no_blood_detail,online_screening,,notes,"Please further describe the situation.",,,,,,,"[screen_no_blood] = '1'",y,,,,,
screen_academic,online_screening,,yesno,"Have you received any academic accommodations? (i.e. extra time during test, one on one time with an aid, etc.)",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_academic_desc,online_screening,,notes,"Please describe the academic accommodations: ",,,,,,,"[screen_academic] = '1'",,,,,,
screen_pregnant,online_screening,,yesno,"Are you pregnant?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_planned_exercise,online_screening,"Health Questions",yesno,"Do you currently engage in planned exercie sessions as part of your weekly routine?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_no_of_days,online_screening,,text,"How many days per week, on average, do you exercise?",,,number,0,7,,"[screen_planned_exercise] = '1'",,,,,,
screen_session_length,online_screening,,text,"On the days you exercise, about how long are your exercise sessions (in minutes)?",,,number,1,500,,"[screen_planned_exercise] = '1'",,,,,,
screen_intensity,online_screening,,radio,"What is the average intensity of your exercise sessions?
(light -- leisurely walk, can sing; moderate -- brisk walk, able to converse; heavy -- jogging, short phrases; very heavy -- high effort, unable to speak more than a word or two)","1, Light | 2, Moderate | 3, Heavy | 4, Very Heavy",,,,,,"[screen_planned_exercise] = '1'",,,,,,
screen_lose_balance,online_screening,,yesno,"Do you lose your balance because of dizziness or do you ever lose consciousness?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_lose_blanace_detail,online_screening,,notes,"Please further describe the situation.",,,,,,,"[screen_lose_balance] = '1'",,,,,,
screen_bone_problem,online_screening,,yesno,"Do you have a bone or joint problem that could be made worse by a change in your physical activity?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_bone_detail,online_screening,,notes,"Please further describe.",,,,,,,"[screen_bone_problem] = '1'",,,,,,
screen_asthma,online_screening,,yesno,"Do you have asthma?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_other_reasons,online_screening,,yesno,"Do you know of any other reason why you should not do physical activity?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_reasons_detail,online_screening,,notes,"Please further describe.",,,,,,,"[screen_other_reasons] = '1'",,,,,,
screen_ed_1,online_screening,"Eating History",yesno,"Do you make yourself sick (induce vomiting) because you feel uncomfortably full?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_ed_6,online_screening,,yesno,"Have there been recent times when you have eaten what other people would regard as an unusually large amount of food given the circumstances?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_ed_2,online_screening,,yesno,"Do you worry you have lost control over how much you eat? ",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
eat_much_more_rapidly_than,online_screening,"During recent episodes of overeating with a loss of control, did you...",radio,"Eat much more rapidly than normal?","1, Yes | 0, No",,,,,,"[screen_ed_6] = '1' and [screen_ed_2] = '1'",y,,,binge_criteria,,
binge_uncomfortable,online_screening,,radio,"Eat until you felt uncomfortably full?","1, Yes | 0, No",,,,,,"[screen_ed_6] = '1' and [screen_ed_2] = '1'",y,,,binge_criteria,,
binge_no_hunger,online_screening,,radio,"Eat large amounts of food when you didn't feel physically hungry?","1, Yes | 0, No",,,,,,"[screen_ed_6] = '1' and [screen_ed_2] = '1'",y,,,binge_criteria,,
eat_alone_because_you_were,online_screening,,radio,"Eat alone because you were embarrassed by how much you were eating?","1, Yes | 0, No",,,,,,"[screen_ed_6] = '1' and [screen_ed_2] = '1'",y,,,binge_criteria,,
binge_disgust,online_screening,,radio,"Feel disgusted with yourself, depressed, or very guilty after overeating?","1, Yes | 0, No",,,,,,"[screen_ed_6] = '1' and [screen_ed_2] = '1'",y,,,binge_criteria,,
screen_binge_freq,online_screening,,dropdown,"How often, on average, over the past month would you say you have experienced episodes of overeating with a loss of control?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10+",,,,,,"[screen_ed_6] = '1' and [screen_ed_2] = '1'",,,,,,
screen_ed_3,online_screening,,yesno,"Have you recently lost more than 10 lbs in a 3 month period? ",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_ed_4,online_screening,,yesno,"Do you believe yourself to be fat when others say you are too thin? ",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_ed_5,online_screening,,yesno,"Would you say that food dominates your life? ",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_scale,online_screening,,descriptive,"Over the past 3 months, to what extend have you felt the following ways? Please select the answer that best indicate you feeling.",,,,,,,"[screen_consent_choice] = '1'",,,,,,
screen_fat,online_screening,,radio,"Have you felt fat?","0, Not at all | 1, Slightly | 2, More than slightly | 3, Moderate | 4, More than moderate | 5, Very much | 6, Extremely",,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_fear_of_fat,online_screening,,radio,"Have you had a definite fear that you might gain weight or become fat?","0, Not at all | 1, Slightly | 2, More than slightly | 3, Moderate | 4, More than moderate | 5, Very much | 6, Extremely",,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_self_judge,online_screening,,radio,"Has your weight influenced how you think about (judge) yourself as a person?","0, Not at all | 1, Slightly | 2, More than slightly | 3, Moderate | 4, More than moderate | 5, Very much | 6, Extremely",,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_shape,online_screening,,radio,"Has your shape influenced how you think about (judge) your self as a person?","0, Not at all | 1, Slightly | 2, More than slightly | 3, Moderate | 4, More than moderate | 5, Very much | 6, Extremely",,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_referral,online_screening,"Basic Information",radio,"How did you hear about us?","1, Flyer | 2, Newsletter | 3, Social Media | 4, Friend/family | 5, Lab Member | 7, Wisconsin Psychiatric Institute and Clinic appointment | 6, Other",,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_ref_flyer,online_screening,,text,"Where did you see our flyer?",,,,,,,"[screen_referral] = 1",y,,,,,
screen_ref_org,online_screening,,text,"What organization?",,,,,,,"[screen_referral] = 2 OR
[screen_referral] = 3",y,,,,,
screen_ref_other,online_screening,,text,Other:,,,,,,,"[screen_referral] = 6",y,,,,,
screen_name,online_screening,,text,"Full First Name",,,,,,y,"[screen_consent_choice] = '1'",y,,,,,
screen_middle_name,online_screening,,text,"Middle Name (if applicable) ",,,,,,y,"[screen_consent_choice] = '1'",,,,,,
screen_last_name,online_screening,,text,"Last Name",,,,,,y,"[screen_consent_choice] = '1'",y,,,,,
screen_sex,online_screening,,radio,"Sex Assigned at Birth","1, Male | 2, Female | 3, Intersex",,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_gender,online_screening,,text,Gender,,,alpha_only,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_pronouns,online_screening,,checkbox,"What pronouns do you use to describe yourself (check all that apply)?","1, She/her | 2, He/him | 3, They/them | 4, I use other pronouns. My pronouns are: ____________",,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_pronouns_other,online_screening,,text,"My pronouns are:",,,,,,,"[screen_pronouns(4)] = '1'",,,,,,
screen_race,online_screening,,checkbox,Race,"1, White | 2, Black/African American | 8, Caribbean | 3, Asian | 4, Indigenous group (American Indian, Alaska Native, Hawaii Native, Aborigine) | 5, Latina/Latino/Latinx or Hispanic | 6, Pacific Islander | 9, Middle Eastern/Arab/North African (e.g. Iranian, Moroccan) | 10, South Asian (e.g. Indian) | 11, Southeast Asian (e.g. Vietnamese, Cambodian, Thai) | 7, My identity is not listed (please describe)",,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_race_detail,online_screening,,text,"Please specify your race",,,,,,,"[screen_race(7)] = '1'",,,,,,
screen_address,online_screening,,notes,"Address (in the following format):
Street:
City:
Zip:",,,,,,y,"[screen_consent_choice] = '1'",y,,,,,
screen_age_specific,online_screening,,text,Age,,,,,,y,"[screen_consent_choice] = '1'",,,,,,
screen_birth_date,online_screening,,text,"Date of birth",,,date_mdy,,,y,"[screen_consent_choice] = '1'",y,,,,,
screen_birth_city,online_screening,,text,"City/Municipality of Birth ",,,,,,y,"[screen_consent_choice] = '1'",y,,,,,
screen_email_consent,online_screening,,yesno,"We would like to request your email address so we can schedule and confirm research appointments for this study. Email is generally not a secure way to communicate about your health as there are many ways for unauthorized users to access email. You should avoid sending sensitive, detailed personal information by email. Email should also not be used to convey information of an urgent nature. You do not have to provide your email address to participate in this study.

Is it ok to collect your email address for this purpose?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_email_address,online_screening,,text,"Email address",,,email,,,y,"[screen_email_consent] = '1'",,,,,,
screen_texting,online_screening,,yesno,"USE OF TEXT MESSAGING
We would like to request your cell phone number and provider to send text reminders about research appointments for this study. If others have access to your phone or read these text messages, they could find out you are participating in a research study.

Is it okay to send text reminders for this purpose? ",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_cell_number,online_screening,,text,"Cell phone number: ",,,,,,y,"[screen_texting] = '1' and [screen_consent_choice] = '1'",y,,,,,
screen_study_flow,online_screening,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Study Flow</p></div>",,,,,,,,,,,,," @HIDDEN-SURVEY"
prelim_group,online_screening,,radio,"Preliminary Grouping","1, Control | 2, ED/Subclinical | 3, Unsure",,,,,,,,,,,," @HIDDEN-SURVEY"
screen_intake,online_screening,,yesno,"Contacted for Intake?",,,,,,,,,,,,," @HIDDEN-SURVEY"
screen_pp_status,online_screening,,radio,"Status of participant","0, Ineligible based on screener | 1, Eligible, Lost to contact/uninterested | 2, Eligible, saved for later contact | 3, Being contacted to schedule Intake | 4, Intake scheduled | 5, Intake No-show | 6, Intake completed but ineligible | 11, Intake completed and eligible | 7, Enrolled | 10, Dropped after completing intake but before visits | 8, Dropped while completing visits | 9, Completed study",,,,,,,,,,,," @HIDDEN-SURVEY"
screen_ineligible_reason,online_screening,,radio,"Why is the individual not eligible?","1, Outside of age range | 2, Binge Eating reported | 3, Not able to attend in-person visits | 4, Ineligible due to medical criteria | 5, Blood draw related | 6, Other",,,,,,"[screen_pp_status] = 0",,,,,," @HIDDEN-SURVEY"
screen_ineligible_other,online_screening,,text,Other:,,,,,,,"[screen_ineligible_reason] = 6",,,,,," @HIDDEN-SURVEY"
screen_intake_drop,online_screening,,radio,"Why did the participant drop after intake but before study visits?","0, No reason provided | 1, Time constraint | 2, Loss of interest | 3, Unforeseen circumstances | 4, Non-compliance | 5, Other",,,,,,"[screen_pp_status] = 10",,,,,," @HIDDEN-SURVEY"
pp_intake_other,online_screening,,text,Other:,,,,,,,"[screen_intake_drop] = 5",,,,,," @HIDDEN-SURVEY"
screen_visits_drop,online_screening,,radio,"Why did the participant drop during study visits?","0, No reason provided | 1, Time constraint | 2, Loss of interest | 3, Unforeseen circumstances | 4, Non-compliance | 5, Other",,,,,,"[screen_pp_status] = 8",,,,,," @HIDDEN-SURVEY"
screen_visits_other,online_screening,,text,Other:,,,,,,,"[screen_visits_drop] = 5",,,,,," @HIDDEN-SURVEY"
screen_notes,online_screening,,notes,Notes:,,,,,,,,,,,,," @HIDDEN-SURVEY"
subject_id,id,,text,"Subject ID",,,,,,,,,,,,,
embark_id,id,,text,"EMBARK ID",,,,,,,,,,,,,
screen_eligible,id,,truefalse,"Eligible after online screen?",,,,,,,,y,,,,,
consentirb,consent_form_madison,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Title: </span><strong>Characterizing Acute Exercise Response in Restrictive Eating Disorders</strong><br><span style=""font-weight: normal;"">Institution: University of Wisconsin Madison PI: Katherine Schaumberg, PhD.</span><br><span style=""font-weight: normal;"">Version: 05/09/24</span></p></div>",,,,,,,,,,,,,
